Target,Clues
infinite,infinite ingenuity
infinite,infinite wealth
boundless,boundless energy
dateless,dateless rise
sempiternal,sempiternal truth
endless,endless wave
infinite,infinite verb form
opening,beethoven
begin,begin canto
introductory,slide show
final,final chapter
terminative,contract terminative
first,political race
first,new party
archetypal,archetypal pattern original type similar thing
prototypal,prototypal student activist original type similar thing
basic,basic course russian
basic,basic training raw recruit
basic,basic tool
introductory,introductory art course
initial,initial step
firstborn,firstborn child
freshman,freshman senator high school
freshman,freshman year high school high school
original,original inhabitant americas
original,original condition
original,original performance
original,original cast
original,original statement
premier,premier rank
prime,prime minister
prime,prime mover
senior,senior prom final year high school
ultimate,ultimate sonata
ultimate,noun sens conflict
grey,grey area illegal intermediate
mediate,mediate position
middle,middle point
junior,junior class final year high school
penultimate,penultimate chapter
sophomore,sophomore class high school
sophomore,sophomore year high school
subterminal,subterminal band tail feather
endmost,endmost pillar
terminal,terminal bud
terminal,terminal station
first,orchestra section
first,violin section orchestra section
second,orchestra section
fissile,fissile crystal
fissile,fissile wood
fissionable,fissionable nucleus nuclear fission
fissionable,fissionable material nuclear fission
able,able seaman strong healthy body
able,young man strong healthy body
unfit,mental condition
unfit,army service mental condition
game,game leg
gammy,gammy foot
flaccid,flaccid cheek
fit,fit subject discussion meeting adequate standard
fit,adequate standard
fit,drink meeting adequate standard
fit,duty meeting adequate standard
suitable,heavy duty
unfit,unfit parent
unfit,human consumption
subhuman,subhuman condition life unfit human being
unsuitable,wood surface particular purpose
flexible,slim flexible birch
pliant,young tree
inflexible,inflexible knife blade
rigid,rigid strip
rigid,rigid plastic
stiff,palace guardsman
stiff,stiff hair
stiff,stiff neck
supple,supple mind personality trait
limber,limber imagination personality trait
inflexible,inflexible purpose
adamant,mind impervious
intransigent,liberal tendency impervious
fossilize,conventional pattern
ossify,bureaucratic system conventional pattern
brassbound,brassbound tradition
brassbound,brassbound party loyalist
ironclad,ironclad rule
compromise,whenever louis tillet
adjustable,adjustable seat belt
convertible,convertible sofa
convertible,convertible coupe
flexible,flexible personality different condition
elastic,elastic clause different condition
pliable,pliable person different condition
universal,universal wrench various purpose
universal,universal chuck various purpose
universal,universal screwdriver various purpose
variable,variable capacitor
variable,variable filter mercury xenon light
rigid,rigid disciplinarian
inflexible,inflexible law
wavy,wavy hair
straight,straight hair
unpermed,smooth glossy permanent wave
toeless,toeless shoe
splay,splay knee
foremost,foremost compartment
native,native land
native,native language
connatural,mankind connatural sense
adopt,free choice
adoptive,adoptive country free choice
foreign,foreign nation
foreign,foreign accent
foreign,foreign city
alien,alien custom
exotic,exotic plant
nonnative,large nonnative population
import,foreign source
tramontane,tramontane influence
native,north american sugar maple characteristic geographic origin
native,native artist geographic origin
autochthonal,autochthonal fauna australia
autochthonous,autochthonous rock
endemic,endemic folkways
indigenous,ainu northernmost island japan
domestic,domestic wine particular country
domestic,domestic oil particular country
homegrown,homegrown fruit particular place
aboriginal,aboriginal people australia
nonnative,nonnative population africa
foreign,foreign trade
foreign,foreign office
abroad,foreign country
overseas,overseas market foreign country
domestic,domestic issue tax rate highway construction internal affair
internal,nation internal politics
domestic,domestic worry
domestic,domestic happiness
domestic,domestic chore
domestic,blood thunder novel
domesticate,home life
undomesticated,home life
forgive,show mercy
forgive,naughty child show mercy
unforgiving,old woman show mercy
formal,formal dress
formal,formal dress formal dress
formal,formal ball formal dress
formal,formal education formal dress
ceremonial,ceremonial occasion
ceremonial,ceremonial garb
ceremonious,ceremonious greeting
dress,full dress uniform formal occasion
dress,dress shoe formal occasion
positive,positive law
pro forma,pro forma election
semiformal,semiformal attire dinner jacket
starchy,starchy manner
buckram,buckram quality
informal,conservative people informal dress
informal,informal free easy manner
informal,informal gathering
casual,casual clothes routine occasion
everyday,everyday clothes routine occasion
casual,christian name casual way
folksy,folksy radio commentator
folksy,folksy style
unceremonious,unceremonious speech
formal,english traditional standard colloquial form
literary,literary style everyday speech
colloquial,colloquial style characteristic
conversational,casual enunciation english
common,common parlance everyday language
vernacular,vernacular term everyday language
vernacular,vernacular speaker everyday language
vulgar,vulgar tongue everyday language
vulgar,vulgar name animal specie everyday language
epistolary,endless sequence
epistolatory,epistolatory novel
slangy,slangy expression
slangy,slangy speech
fortunate,unexpected good fortune
fortunate,fortunate choice unexpected good fortune
well,prosperous condition
fortuitous,fortuitous drop raw material happy chance
good,good thing
providential,providential recovery divine intervention
lucky,lucky guess
abject,abject slave
abject,abject poverty
calamitous,calamitous defeat dire consequence
disastrous,disastrous end disastrous campaign dire consequence
fateful,fateful error dire consequence
hapless,hapless victim
miserable,miserable victim
piteous,piteous appeal
pitiable,pitiable homeless child
pitiful,pitiful fate
poor,oh poor thing
doom,business venture promise bad fortune
infelicitous,infelicitous circumstance
regrettable,regrettable remark
foul,foul odor
odorous,odorous salt pork
odorous,odorous jasmine flower characteristic odor
odorous,odorous garbage characteristic odor
odorous,fresh odorous bread characteristic odor
redolent,floor wax
redolent,air redolent
odorless,odorless gas
odorless,odorless flower
scentless,scentless wisp
scentless,rocky ground
lead,thin strip
stationary,stationary machinery
float,normal position
unsteady,unsteady ladder
unfirm,unfirm stance
free,free enterprise
free,free port
free,free country
free,free choice
emancipate,young woman traditional social restraint
liberate,traditional social restraint
footloose,footloose people
footloose,young man big city
unconstrained,polite society
unhampered,black people
adscript,adscript serf
free,civil war free man
unfree,unfree parent
servile,brown attempt servile insurrection
servile,servile war sicily
servile,servile work
frequent,frequent guest short interval
frequent,frequent complaint short interval
regular,regular customer
steady,steady drinker
infrequent,infrequent outburst short interval
occasional,occasional glass
rare,rare appearance long interval
rare,total eclipse rare event long interval
fresh,fresh bread
fresh,fresh scent
fresh,fresh lettuce
caller,caller fish
crisp,crisp lettuce
hot,hot scent
stale,stale bread
bad,bad meat usable condition
spoilt,spoil food usable condition
cold,cold trail
cold,cold scent
hard,hard dry roll
flyblown,flyblown meat
maggoty,maggoty apricot
moldy,moldy bread
rancid,rancid butter
rancid,rancid bacon
rotten,implies foulness
putrescent,putrescent carcass
fresh,fresh vegetable
dry,natural moisture
dehydrate,natural moisture
desiccate,coconut meat natural moisture
frozen,frozen food nutritional value
fresh,fresh water salt water
brackish,brackish lagoon fresh water
briny,fresh water
saliferous,saliferous formation
saliferous,major well know saliferous basin potassium magnesium salt
saline,saline substance
friendly,friendly advice characteristic
friendly,friendly neighborhood characteristic
friendly,friendly person
friendly,friendly host hostess characteristic
cozy,informal atmosphere
informal,informal manner informal atmosphere
intimate,intimate cocktail lounge informal atmosphere
cozy,small room informal atmosphere
intimate,small room informal atmosphere
social,social cup friendly companionship
